id,order,mode,sentence,WPM
2,0,Basic,interactions between men and women,11.0945
2,1,Basic,you should visit a doctor,12.7578
2,2,Basic,the generation gap gets wider,15.5454
2,3,Basic,space is a high priority,11.7527
2,4,Basic,would you like to come to my house,11.316
2,5,Basic,no exchange without a bill,14.5157
2,6,Basic,beautiful paintings in the gallery,15.0748
2,7,Basic,we run the risk of failure,15.25
2,8,Basic,fish are jumping,18.993
2,9,Basic,a picture is worth many words,12.5723
2,0,FixStart,space is a high priority,13.0828
2,1,FixStart,express delivery is very fast,11.178
2,2,FixStart,that land is owned by the government,16.287
2,3,FixStart,with each step forward,17.5917
2,4,FixStart,that is a very nasty cut,10.2296
2,5,FixStart,medieval times were very hard,20.0919
2,6,FixStart,file all complaints in writing,20.3112
2,7,FixStart,our silver anniversary is coming,17.7921
2,8,FixStart,medieval times were very hard,10.9223
2,9,FixStart,file all complaints in writing,12.141
