a good response to the question
a good response to the question
Basic
0.6 0.6
432 388.8
Began 1113.949 176 348 -0.4259259 -0.1028807
Stationary 1113.968 176 348 -0.4259259 -0.1028807
Stationary 1113.983 176 348 -0.4259259 -0.1028807
Stationary 1113.998 176 348 -0.4259259 -0.1028807
Stationary 1114.013 176 348 -0.4259259 -0.1028807
Stationary 1114.029 176 348 -0.4259259 -0.1028807
Stationary 1114.044 176 348 -0.4259259 -0.1028807
Ended 1114.06 176 348 -0.4259259 -0.1028807
Candidates 1114.12 5 a s z d x
Began 1114.598 355 350 -0.01157408 -0.09773669
Stationary 1114.614 355 350 -0.01157408 -0.09773669
Stationary 1114.631 355 350 -0.01157408 -0.09773669
Stationary 1114.645 355 350 -0.01157408 -0.09773669
Stationary 1114.658 355 350 -0.01157408 -0.09773669
Stationary 1114.677 355 350 -0.01157408 -0.09773669
Moved 1114.691 355 364.1356 -0.01157408 -0.06137957
Moved 1114.706 355 372.5279 -0.01157408 -0.03979459
Moved 1114.722 355 379.826 -0.01157408 -0.02102377
Moved 1114.738 363.5442 389.2061 0.008204182 0.003101914
Moved 1114.753 364.2835 400.9846 0.009915532 0.0333965
Moved 1114.769 366.6731 408.7116 0.01544694 0.05327059
Moved 1114.785 368.0584 416.2921 0.01865377 0.0727677
Moved 1114.798 370.892 423.23 0.02521296 0.0906122
Moved 1114.814 371.1397 428.978 0.02578636 0.1053959
Moved 1114.83 374 435.5 0.03240744 0.1221707
Moved 1114.847 375.2838 441.8516 0.03537923 0.1385071
Moved 1114.861 375.6713 446.3426 0.03627618 0.150058
Moved 1114.877 376 450.1758 0.03703703 0.1599172
Moved 1114.892 376 452.916 0.03703703 0.1669648
Moved 1114.908 376 454.2833 0.03703703 0.1704817
Moved 1114.923 376 458.4305 0.03703703 0.1811485
Moved 1114.937 376 459.5 0.03703703 0.1838991
Moved 1114.954 376 460.6338 0.03703703 0.1868152
Stationary 1114.971 376 461 0.03703703 0.1877571
Moved 1114.984 376 462.4009 0.03703703 0.1913602
Ended 1115 376 462 0.03703703 0.1903292
Accept 1115.026 0 a
Began 1115.582 211 317 -0.3449074 -0.1826131
Stationary 1115.601 211 317 -0.3449074 -0.1826131
Stationary 1115.616 211 317 -0.3449074 -0.1826131
Stationary 1115.63 211 317 -0.3449074 -0.1826131
Stationary 1115.646 211 317 -0.3449074 -0.1826131
