I can still feel your presence
I can still feel your presence
Basic
List

0.6 0.6
432 388.8
Began 1167.824 524 524 0.3796296 0.3497942
Stationary 1167.855 524 524 0.3796296 0.3497942
Stationary 1167.885 524 524 0.3796296 0.3497942
Stationary 1167.916 524 524 0.3796296 0.3497942
Stationary 1167.947 524 524 0.3796296 0.3497942
Stationary 1167.978 524 524 0.3796296 0.3497942
Stationary 1168.008 524 524 0.3796296 0.3497942
Stationary 1168.039 524 524 0.3796296 0.3497942
Stationary 1168.07 524 524 0.3796296 0.3497942
Stationary 1168.1 524 524 0.3796296 0.3497942
Stationary 1168.131 524 524 0.3796296 0.3497942
Stationary 1168.162 524 524 0.3796296 0.3497942
Stationary 1168.193 524 524 0.3796296 0.3497942
Stationary 1168.223 524 524 0.3796296 0.3497942
Stationary 1168.254 524 524 0.3796296 0.3497942
Stationary 1168.285 524 524 0.3796296 0.3497942
Moved 1168.316 511.024 524 0.3495927 0.3497942
Moved 1168.346 505.4929 524 0.336789 0.3497942
Moved 1168.377 498.5 524 0.3206019 0.3497942
Moved 1168.408 492.7329 524 0.3072522 0.3497942
Moved 1168.438 487.9985 524 0.2962928 0.3497942
Moved 1168.469 483.1243 524 0.2850099 0.3497942
Moved 1168.5 479.6795 524 0.277036 0.3497942
Moved 1168.531 473.4092 524 0.2625213 0.3497942
Moved 1168.561 469.6639 524 0.2538516 0.3497942
Moved 1168.592 465.9592 524 0.2452759 0.3497942
Moved 1168.623 462.8846 524 0.2381589 0.3497942
Moved 1168.653 459.5748 524 0.2304971 0.3497942
Moved 1168.684 455.6983 517 0.2215238 0.33179
Moved 1168.715 453.0997 517 0.2155087 0.33179
Moved 1168.745 450.2594 516 0.2089338 0.329218
Moved 1168.776 449 516 0.2060185 0.329218
Ended 1168.807 448 516 0.2037037 0.329218
Candidates 1168.899 13 I o you pi put pip po ip up pop iu pt u
Began 1169.974 307 223 -0.1226852 -0.4243828
Stationary 1170.005 307 223 -0.1226852 -0.4243828
Stationary 1170.036 307 223 -0.1226852 -0.4243828
Stationary 1170.066 307 223 -0.1226852 -0.4243828
Stationary 1170.097 307 223 -0.1226852 -0.4243828
Stationary 1170.128 307 223 -0.1226852 -0.4243828
Stationary 1170.158 307 223 -0.1226852 -0.4243828
Stationary 1170.189 307 223 -0.1226852 -0.4243828
Stationary 1170.22 307 223 -0.1226852 -0.4243828
Stationary 1170.25 307 223 -0.1226852 -0.4243828
Stationary 1170.281 307 223 -0.1226852 -0.4243828
