traveling requires a lot of fuel
traveling requires a lot of fuel
FixStart
List

0.6 0.6
432 388.8
Began 623.287 300 394 -0.1388889 0.01543206
Stationary 623.3177 300 394 -0.1388889 0.01543206
Moved 623.3484 300 405.22 -0.1388889 0.04429017
Moved 623.3791 291.3173 411.0482 -0.1589877 0.05928019
Moved 623.4099 290 421.7174 -0.162037 0.08672168
Moved 623.4406 288 434.3505 -0.1666667 0.1192141
Moved 623.4713 285.1665 448.1677 -0.1732257 0.1547523
Moved 623.502 284 457.7918 -0.1759259 0.1795056
Moved 623.5328 283 474.0273 -0.1782407 0.2212636
Moved 623.5635 282 488.4588 -0.1805555 0.2583816
Moved 623.5942 280.5016 501.4951 -0.184024 0.2919113
Moved 623.625 280 508.707 -0.1851852 0.3104604
Moved 623.6557 279 515.9716 -0.1875 0.329145
Moved 623.6864 279 521.8416 -0.1875 0.3442426
Moved 623.7172 279 527.1583 -0.1875 0.3579174
Moved 623.7479 279 531.6094 -0.1875 0.3693656
Moved 623.7786 279 534.3422 -0.1875 0.3763944
Moved 623.8093 279 536.5 -0.1875 0.3819444
Moved 623.8401 279 537.2304 -0.1875 0.3838229
Moved 623.8708 279 538.3069 -0.1875 0.3865919
Moved 623.9016 276.5 538 -0.193287 0.3858024
Moved 623.9323 274.2334 538 -0.1985338 0.3858024
Moved 623.963 271.8135 538 -0.2041353 0.3858024
Moved 623.9937 267.99 538 -0.2129861 0.3858024
Moved 624.0245 264.4629 538 -0.2211508 0.3858024
Moved 624.0552 259.93 538 -0.2316435 0.3858024
Moved 624.0859 254.0631 538 -0.2452243 0.3858024
Moved 624.1166 247.5021 538 -0.2604117 0.3858024
Moved 624.1474 242 529.5 -0.2731481 0.3639403
Moved 624.1781 236.7538 527.7538 -0.2852922 0.3594489
Moved 624.2089 234.3622 527.3622 -0.2908282 0.3584419
Moved 624.2396 231.6107 526.6107 -0.2971974 0.3565089
Moved 624.2704 228.8518 524.8518 -0.3035837 0.351985
Moved 624.301 223.9382 519.2509 -0.3149579 0.3375794
Moved 624.3318 211.2355 499.1769 -0.3443622 0.2859486
Moved 624.3625 195.4556 473.0927 -0.3808898 0.2188596
Moved 624.3933 183.5851 453.8777 -0.4083677 0.1694386
Moved 624.424 175.3988 439.998 -0.4273176 0.1337396
Moved 624.4548 162.9296 423.912 -0.4561814 0.0923663
Moved 624.4855 155.6788 415.4525 -0.4729658 0.0706082
Moved 624.5162 148.9514 408.4271 -0.4885384 0.05253886
Moved 624.5469 143.0568 403.0379 -0.5021833 0.03867773
Moved 624.5776 137.5579 397.5579 -0.5149123 0.02458294
Moved 624.6083 133.533 393.066 -0.5242292 0.0130297
Moved 624.6391 127.5847 387.5847 -0.5379984 -0.001068154
Moved 624.6697 123.3514 384.3514 -0.5477977 -0.009384351
Moved 624.7006 120.6038 379.2076 -0.5541578 -0.02261417
Moved 624.7313 116.8573 374.7145 -0.5628303 -0.03417042
Moved 624.762 114.341 371.3409 -0.5686553 -0.04284745
