traveling requires a lot of fuel
traveling requires a lot of fuel
Basic
Radial

0.6 0.6
432 388.8
Began 1754.134 419 383 0.1365741 -0.01286016
Stationary 1754.165 419 383 0.1365741 -0.01286016
Stationary 1754.195 419 383 0.1365741 -0.01286016
Moved 1754.226 407.7225 383 0.1104689 -0.01286016
Moved 1754.257 403.1926 383 0.09998281 -0.01286016
Moved 1754.288 397.4444 392.2778 0.08667678 0.01100261
Moved 1754.318 390.5287 397.3142 0.07066835 0.02395626
Moved 1754.349 385.6105 403.3895 0.05928367 0.03958192
Moved 1754.38 380.8456 408.1544 0.04825383 0.05183734
Moved 1754.411 375.1064 413.4468 0.03496866 0.06544945
Moved 1754.441 371.3727 420.6273 0.02632568 0.08391796
Moved 1754.472 368.1823 426.6354 0.01894047 0.0993709
Moved 1754.503 364.3119 436.0643 0.009981295 0.123622
Moved 1754.533 360.4379 446.2485 0.001013577 0.1498159
Moved 1754.564 357.9093 454.3628 -0.0048396 0.1706861
Moved 1754.595 355.0162 462.9515 -0.01153663 0.1927763
Moved 1754.625 353.141 471.7181 -0.01587739 0.2153241
Moved 1754.656 351 482.9266 -0.02083332 0.2441526
Moved 1754.687 348.7502 491.9993 -0.02604122 0.2674878
Moved 1754.718 346.8665 500.5339 -0.03040159 0.2894388
Moved 1754.748 343.9938 507.0125 -0.03705144 0.3061019
Moved 1754.779 341.324 513.352 -0.04323145 0.3224072
Moved 1754.81 338.5572 517.8856 -0.04963607 0.3340677
Moved 1754.84 335.6878 522.3122 -0.05627831 0.3454531
Moved 1754.871 332.8131 525.1868 -0.06293252 0.3528468
Moved 1754.902 330.2902 527.7098 -0.06877269 0.3593359
Moved 1754.932 325.8133 528 -0.07913585 0.3600822
Moved 1754.963 321.5382 528 -0.08903185 0.3600822
Moved 1754.994 299.1613 508.2017 -0.1408303 0.3091606
Moved 1755.025 258.52 466.7 -0.2349074 0.2024175
Moved 1755.055 230.6998 434.5997 -0.2993061 0.1198551
Moved 1755.086 206.9611 402.2301 -0.3542568 0.03660002
Moved 1755.117 192.5685 383.3959 -0.3875729 -0.01184189
Moved 1755.148 178.0553 363.0829 -0.4211683 -0.06408707
Moved 1755.178 172.2803 353.4205 -0.4345363 -0.08893911
Moved 1755.209 167.2564 344.7692 -0.4461658 -0.1111904
Moved 1755.24 162.4704 337.4703 -0.4572446 -0.1299632
Moved 1755.27 161 333.8763 -0.4606481 -0.139207
Moved 1755.301 159 330.9907 -0.4652778 -0.1466289
Moved 1755.332 157.5586 329.5586 -0.4686143 -0.1503123
Moved 1755.363 156.6748 328.6747 -0.4706603 -0.1525856
Moved 1755.393 156 327.5 -0.4722222 -0.1556071
Stationary 1755.424 156 327.5 -0.4722222 -0.1556071
Moved 1755.455 156 328 -0.4722222 -0.1543211
Moved 1755.485 156 332.8464 -0.4722222 -0.1418561
Moved 1755.516 156 345.4363 -0.4722222 -0.1094745
Moved 1755.547 165.7023 355.4047 -0.4497631 -0.08383582
Moved 1755.578 168.6992 364.3984 -0.4428258 -0.06070368
Moved 1755.608 172.4329 372.8658 -0.4341831 -0.03892545
Moved 1755.639 177.1642 382.9104 -0.4232311 -0.01309061
Moved 1755.67 183.2849 393.3799 -0.4090627 0.01383715
Moved 1755.7 190.9776 404.9664 -0.3912556 0.0436379
Moved 1755.731 195.8682 412.7365 -0.3799346 0.06362244
Moved 1755.762 200.4813 419.4813 -0.3692561 0.0809704
