please provide your date of birth
please provide your date of birth
FixStart
0.6 0.6
432 388.8
Began 165.0513 476 435 0.2685185 0.1208847
Stationary 165.0728 476 435 0.2685185 0.1208847
Stationary 165.0886 476 435 0.2685185 0.1208847
Stationary 165.1035 476 435 0.2685185 0.1208847
Stationary 165.1191 476 435 0.2685185 0.1208847
Stationary 165.1339 476 435 0.2685185 0.1208847
Stationary 165.1455 476 435 0.2685185 0.1208847
Stationary 165.1618 476 435 0.2685185 0.1208847
Stationary 165.1782 476 435 0.2685185 0.1208847
Moved 165.193 476 447.4023 0.2685185 0.1527838
Moved 165.2089 481.0553 455.4234 0.2802207 0.173414
Moved 165.2266 491.08 464.0686 0.303426 0.1956496
Moved 165.2404 503.5549 476.5549 0.332303 0.2277645
Moved 165.2544 515.7645 488.988 0.3605659 0.2597428
Moved 165.27 528.4628 501.4628 0.3899601 0.2918281
Moved 165.2865 537.469 508.1426 0.4108078 0.3090086
Moved 165.3013 550.2953 518.5303 0.4404985 0.3357259
Moved 165.3164 561.7634 527.793 0.4670448 0.3595497
Moved 165.3355 570.1016 533.401 0.4863462 0.3739737
Moved 165.3479 577.68 541.416 0.5038888 0.3945884
Moved 165.3648 585.7448 547.4965 0.5225573 0.4102276
Moved 165.3791 594 554.5 0.5416667 0.4282407
Moved 165.3943 599.08 559.08 0.5534258 0.4400204
Moved 165.4103 604.0018 563.0013 0.5648189 0.4501062
Moved 165.4242 609.476 567.107 0.5774907 0.4606661
Moved 165.4404 612.27 568.7567 0.5839584 0.4649089
Moved 165.4557 615.2993 571.2993 0.5909705 0.4714486
Moved 165.4725 618 574 0.5972223 0.478395
Moved 165.4868 620.8207 574.9103 0.6037518 0.4807364
Moved 165.5011 622.2866 576.2866 0.607145 0.4842762
Moved 165.5176 623.2607 576 0.6093997 0.483539
Moved 165.535 624.7187 577 0.6127748 0.4861111
Moved 165.5547 627.4746 577 0.6191542 0.4861111
Stationary 165.5652 627.4746 577 0.6191542 0.4861111
Moved 165.5775 628.5 577 0.6215277 0.4861111
Moved 165.5936 629.1263 577 0.6229774 0.4861111
Moved 165.6085 630.6299 577 0.626458 0.4861111
Moved 165.6246 631.7504 577 0.6290517 0.4861111
Moved 165.6404 634.0942 577 0.6344773 0.4861111
Moved 165.6558 635.4307 564.1242 0.637571 0.4529943
Moved 165.6718 637.8075 560.7699 0.6430728 0.4443669
Moved 165.6871 639.1994 552.8036 0.646295 0.4238776
Moved 165.703 640.5825 543.7579 0.6494964 0.4006117
Moved 165.7179 641 533.2461 0.650463 0.3735752
Moved 165.7334 642.3448 520.897 0.6535758 0.3418133
Moved 165.7478 642 514.7183 0.6527777 0.3259215
Moved 165.7635 642 499.84 0.6527777 0.2876541
Moved 165.7794 642 487.4214 0.6527777 0.2557136
Moved 165.7953 642 473.8956 0.6527777 0.2209249
Moved 165.8104 642 463.3763 0.6527777 0.193869
Moved 165.8249 642 453.6955 0.6527777 0.1689698
Moved 165.8407 637.0295 444.7396 0.6412721 0.145935
Moved 165.8566 634.1837 438.9185 0.6346846 0.1309631
Moved 165.8717 632.8656 434.5968 0.6316333 0.1198476
Moved 165.8875 630.9662 430.9662 0.6272367 0.1105099
Moved 165.9024 627.31 427.31 0.6187731 0.1011058
Moved 165.9182 623.1498 425.7166 0.609143 0.09700771
Moved 165.9335 617.6229 426 0.5963492 0.09773654
Moved 165.9488 609.7042 426 0.578019 0.09773654
Moved 165.9646 602.8721 426 0.562204 0.09773654
Moved 165.9809 593.7463 438.6604 0.5410795 0.1302993
Moved 165.9956 580.7633 449.3322 0.5110262 0.1577473
Moved 166.01 572.1855 457.8145 0.4911703 0.1795638
Moved 166.0265 563.3044 467.6956 0.470612 0.2049784
Moved 166.0421 555.7238 477.3867 0.4530642 0.229904
Moved 166.0573 545.9003 489.9853 0.4303249 0.2623077
Moved 166.0708 538.9749 501.7002 0.4142936 0.2924387
Moved 166.0877 533.419 509.4134 0.4014329 0.3122771
Moved 166.1023 525.3907 521.4139 0.3828489 0.3431426
Moved 166.1183 517.7147 532.5994 0.3650803 0.371912
