I can still feel your presence
I can still feel your presence
Basic
Radial

0.6 0.6
432 388.8
Began 2096.838 535 594 0.4050927 0.5298353
Stationary 2096.869 535 594 0.4050927 0.5298353
Stationary 2096.9 535 594 0.4050927 0.5298353
Stationary 2096.931 535 594 0.4050927 0.5298353
Stationary 2096.961 535 594 0.4050927 0.5298353
Stationary 2096.992 535 594 0.4050927 0.5298353
Stationary 2097.023 535 594 0.4050927 0.5298353
Stationary 2097.053 535 594 0.4050927 0.5298353
Stationary 2097.084 535 594 0.4050927 0.5298353
Stationary 2097.115 535 594 0.4050927 0.5298353
Stationary 2097.146 535 594 0.4050927 0.5298353
Stationary 2097.177 535 594 0.4050927 0.5298353
Stationary 2097.207 535 594 0.4050927 0.5298353
Stationary 2097.238 535 594 0.4050927 0.5298353
Stationary 2097.269 535 594 0.4050927 0.5298353
Stationary 2097.299 535 594 0.4050927 0.5298353
Stationary 2097.33 535 594 0.4050927 0.5298353
Moved 2097.361 523.8305 594 0.3792373 0.5298353
Moved 2097.391 522.0104 594 0.3750242 0.5298353
Moved 2097.422 509.8072 572.0762 0.3467758 0.4734469
Moved 2097.453 492.3007 551.5609 0.3062516 0.4206811
Moved 2097.484 481.5 536.5 0.28125 0.3819444
Moved 2097.514 474.6814 529.6814 0.2654663 0.3644068
Moved 2097.545 471.9637 524.9274 0.2591753 0.3521796
Moved 2097.576 470 522.0842 0.2546296 0.3448668
Moved 2097.606 469 519.6744 0.2523148 0.3386688
Moved 2097.637 466.8471 517.8471 0.2473314 0.3339688
Moved 2097.668 465.8217 515.8217 0.2449575 0.3287593
Moved 2097.698 466 514.9809 0.2453704 0.3265968
Moved 2097.729 464.8549 515 0.2427198 0.326646
Moved 2097.76 465 513.6255 0.2430555 0.3231107
Moved 2097.791 463.7506 512.7505 0.2401634 0.3208604
Moved 2097.821 464 511.7504 0.2407408 0.3182879
Moved 2097.852 463 510.6503 0.2384259 0.3154586
Stationary 2097.883 463 510.6503 0.2384259 0.3154586
Moved 2097.914 463 509.9847 0.2384259 0.3137465
Moved 2097.944 461.625 510 0.2352429 0.3137859
Stationary 2097.975 461.625 510 0.2352429 0.3137859
Stationary 2098.006 461.625 510 0.2352429 0.3137859
Stationary 2098.036 461.625 510 0.2352429 0.3137859
Stationary 2098.067 461.625 510 0.2352429 0.3137859
Stationary 2098.098 461.625 510 0.2352429 0.3137859
Stationary 2098.128 461.625 510 0.2352429 0.3137859
Stationary 2098.159 461.625 510 0.2352429 0.3137859
