a subject one can really enjoy
a subject one can really enjoy
FixStart
Radial

0.6 0.6
432 388.8
Began 3876.878 395 304 0.08101851 -0.2160494
Stationary 3876.909 395 304 0.08101851 -0.2160494
Stationary 3876.94 395 304 0.08101851 -0.2160494
Stationary 3876.97 395 304 0.08101851 -0.2160494
Moved 3877.001 375.0994 304 0.03495236 -0.2160494
Moved 3877.032 356.5018 304 -0.008097738 -0.2160494
Moved 3877.063 332.2168 312.8648 -0.06431291 -0.193249
Moved 3877.094 304.9152 318.2712 -0.1275111 -0.1793437
Moved 3877.124 282.2287 321.7524 -0.1800263 -0.17039
Moved 3877.155 260.0296 324.2189 -0.2314129 -0.1640459
Moved 3877.186 241.4596 326.7567 -0.274399 -0.1575188
Moved 3877.216 228.4831 328.3034 -0.3044372 -0.1535406
Moved 3877.247 220.4411 328.6397 -0.323053 -0.1526756
Moved 3877.278 212.7946 329 -0.3407533 -0.151749
Moved 3877.309 208.3851 329 -0.3509603 -0.151749
Moved 3877.339 204.835 330 -0.3591783 -0.149177
Moved 3877.37 202.5 330 -0.3645833 -0.149177
Moved 3877.401 202 330 -0.3657407 -0.149177
Ended 3877.431 202 330 -0.3657407 -0.149177
Candidates 3877.554 13 a as add sa s da aa ga aaa gas fda ass faa
Began 3877.985 265 303 -0.2199074 -0.2186215
Stationary 3878.015 265 303 -0.2199074 -0.2186215
Stationary 3878.046 265 303 -0.2199074 -0.2186215
Moved 3878.077 276.4898 303 -0.1933106 -0.2186215
Moved 3878.107 301.8643 315.2764 -0.1345735 -0.1870464
Moved 3878.138 328.0931 320.4651 -0.07385845 -0.1737007
Moved 3878.169 342.901 322 -0.03958096 -0.1697531
Moved 3878.2 351.9831 323 -0.01855766 -0.1671811
Moved 3878.23 358.0516 324 -0.004510184 -0.164609
Moved 3878.261 363.2732 324 0.007576843 -0.164609
Moved 3878.292 366.675 324 0.01545141 -0.164609
Ended 3878.323 368 324 0.01851857 -0.164609
Accept 3878.415 0 a
Began 3878.691 374 315 0.03240744 -0.1877573
Stationary 3878.722 374 315 0.03240744 -0.1877573
Stationary 3878.753 374 315 0.03240744 -0.1877573
Stationary 3878.783 374 315 0.03240744 -0.1877573
Stationary 3878.814 374 315 0.03240744 -0.1877573
Stationary 3878.845 374 315 0.03240744 -0.1877573
Moved 3878.875 362.4966 315 0.005779068 -0.1877573
Moved 3878.906 351.095 315 -0.02061337 -0.1877573
Moved 3878.937 333.6245 315 -0.06105453 -0.1877573
Moved 3878.968 312.0948 315 -0.1108916 -0.1877573
Moved 3878.999 292.6341 315 -0.1559395 -0.1877573
Moved 3879.029 275.9266 315 -0.1946143 -0.1877573
Moved 3879.06 267.9966 315 -0.2129709 -0.1877573
Moved 3879.091 248.5 315 -0.2581019 -0.1877573
Moved 3879.121 239.7678 315 -0.2783154 -0.1877573
Moved 3879.152 233.755 315 -0.2922339 -0.1877573
Moved 3879.183 230.1014 315 -0.3006912 -0.1877573
Moved 3879.214 227.5862 315 -0.3065133 -0.1877573
Stationary 3879.244 227.5862 315 -0.3065133 -0.1877573
Moved 3879.275 227 323.2488 -0.3078704 -0.1665412
Moved 3879.306 237.6655 331.1021 -0.2831817 -0.1463424
Moved 3879.336 267.5489 347.9357 -0.2140072 -0.103046
Moved 3879.367 309.9905 365.2465 -0.1157626 -0.05852248
Moved 3879.398 351.7157 379.5184 -0.01917655 -0.02181481
Moved 3879.429 377.4611 391.7305 0.0404192 0.009594944
Moved 3879.459 402.9508 407.3005 0.09942313 0.04964118
Moved 3879.49 425.0688 419.793 0.1506222 0.081772
Moved 3879.521 443.0743 430.1853 0.1923016 0.1085012
Moved 3879.552 457 441 0.2245371 0.1363167
Moved 3879.582 469.3299 452.264 0.2530786 0.165288
Moved 3879.613 477.8086 459.8086 0.272705 0.1846928
Moved 3879.644 483.2909 464.2908 0.2853955 0.1962212
Moved 3879.674 487 469 0.2939814 0.2083333
Moved 3879.705 489.9425 471.9425 0.300793 0.2159015
Moved 3879.736 491 474.4838 0.3032407 0.2224376
Moved 3879.767 492.5 475.5 0.306713 0.2250513
Moved 3879.797 492 476.1508 0.3055556 0.2267251
Stationary 3879.828 492 476.1508 0.3055556 0.2267251
Moved 3879.859 492 477 0.3055556 0.2289094
Stationary 3879.889 492 477 0.3055556 0.2289094
Moved 3879.92 476.7104 425.2152 0.2701628 0.09571809
Moved 3879.951 454.1197 363.1619 0.2178697 -0.06388394
Moved 3879.982 426.3306 293.7713 0.153543 -0.2423578
Moved 3880.012 413.5086 259.3563 0.1238626 -0.3308737
Moved 3880.043 406.2284 239.2993 0.1070102 -0.3824607
Moved 3880.074 403.355 229.42 0.1003588 -0.4078703
Moved 3880.104 400.8041 221.4122 0.09445389 -0.4284665
Moved 3880.135 398.2667 215.5334 0.08858035 -0.4435869
Moved 3880.166 396.7109 211.7109 0.08497894 -0.4534184
Moved 3880.197 395.5 208.5 0.08217593 -0.461677
Moved 3880.228 394.5 206.5 0.07986108 -0.466821
Moved 3880.258 393.5 204.5 0.07754634 -0.471965
Moved 3880.289 394 203.6677 0.07870366 -0.4741057
Moved 3880.32 394 202.9253 0.07870366 -0.4760152
Moved 3880.35 393 201.5 0.07638891 -0.479681
Stationary 3880.381 393 201.5 0.07638891 -0.479681
Moved 3880.412 393 200.834 0.07638891 -0.4813941
Stationary 3880.443 393 201 0.07638891 -0.4809672
Stationary 3880.473 393 201 0.07638891 -0.4809672
Moved 3880.504 393 210.985 0.07638891 -0.4552855
Moved 3880.535 413.7701 226.7317 0.1244677 -0.4147848
Moved 3880.565 438.4531 252.4531 0.1816044 -0.3486288
Moved 3880.596 458.8666 280.3 0.228858 -0.2770063
Moved 3880.627 471.3756 298.0634 0.2578139 -0.2313184
Moved 3880.658 480.7108 312.518 0.2794231 -0.1941409
Moved 3880.688 485.3249 322.6498 0.2901039 -0.1680817
Moved 3880.719 487.7194 333.8774 0.2956467 -0.1392043
Moved 3880.75 488 341.7986 0.2962963 -0.1188308
Moved 3880.781 488 350.4318 0.2962963 -0.0966262
Moved 3880.811 477.7217 358.0835 0.2725039 -0.07694582
Moved 3880.842 464.713 367.1435 0.2423912 -0.05364335
Moved 3880.873 450.2029 374.3416 0.2088029 -0.03512967
Moved 3880.903 430.0821 381.9727 0.1622271 -0.01550251
Moved 3880.934 407.9925 388.8015 0.1110938 0.002061428
Moved 3880.965 380.327 398.8692 0.0470532 0.02795576
Moved 3880.996 358.9122 407.0488 -0.002518147 0.04899362
Moved 3881.026 334 416 -0.06018519 0.07201634
Moved 3881.057 317.8111 420.3963 -0.09765959 0.08332378
Moved 3881.088 298.608 428.0251 -0.1421112 0.1029452
Moved 3881.118 283.5792 432.7683 -0.1769001 0.1151448
Moved 3881.149 270.279 438.8605 -0.2076875 0.1308139
Moved 3881.18 257.4591 444.4164 -0.2373632 0.1451038
Moved 3881.211 248.2534 449.4977 -0.2586727 0.1581732
Moved 3881.241 237.6351 453.5766 -0.283252 0.168664
Moved 3881.272 229.9962 456.3346 -0.3009347 0.1757576
Moved 3881.303 224.8254 458.5873 -0.3129042 0.1815517
Moved 3881.333 219.7244 460.1378 -0.324712 0.1855396
Moved 3881.364 216.3175 460 -0.3325984 0.1851851
Moved 3881.395 215 461.2277 -0.3356481 0.1883426
Moved 3881.426 212.6631 461 -0.3410576 0.1877571
Moved 3881.457 211.0024 452.022 -0.3449018 0.1646656
Moved 3881.487 211 427 -0.3449074 0.1003086
Moved 3881.518 221.8796 397.1204 -0.319723 0.02345768
Moved 3881.549 232.3823 365.6826 -0.2954114 -0.05740091
Moved 3881.579 245.4154 334.4615 -0.2652422 -0.1377019
Moved 3881.61 254.3414 308.5286 -0.24458 -0.2044019
Moved 3881.641 262.9982 285.0046 -0.2245413 -0.264906
Moved 3881.672 268.3513 268.5948 -0.2121498 -0.3071122
Moved 3881.702 274.5579 249.1053 -0.1977827 -0.3572394
Moved 3881.733 277.3274 235.3632 -0.1913718 -0.3925845
Moved 3881.764 279.8596 225.2809 -0.1855103 -0.4185163
Moved 3881.794 281.1138 217.6586 -0.1826069 -0.438121
Moved 3881.825 281 207.2015 -0.1828704 -0.4650167
Moved 3881.856 282.2451 200.5099 -0.1799883 -0.4822277
Moved 3881.887 282 194.389 -0.1805555 -0.4979706
Moved 3881.917 282 190.8971 -0.1805555 -0.5069519
Moved 3881.948 283 185.7827 -0.1782407 -0.5201063
Moved 3881.979 283 182.8447 -0.1782407 -0.5276628
Moved 3882.01 284 180.3046 -0.1759259 -0.5341961
Moved 3882.04 285 179 -0.1736111 -0.5375513
Moved 3882.071 287.4588 176.5413 -0.1679195 -0.5438754
Moved 3882.102 291.0155 176 -0.1596864 -0.5452675
Moved 3882.132 295.1231 175.4385 -0.1501781 -0.5467118
Moved 3882.163 298.7129 175 -0.1418682 -0.5478395
Moved 3882.194 308.7888 175 -0.1185443 -0.5478395
Moved 3882.225 318.7298 194.5496 -0.09553294 -0.4975578
Moved 3882.255 334.7421 225.4841 -0.05846744 -0.4179935
Moved 3882.286 348.5624 261.9269 -0.02647584 -0.324262
Moved 3882.317 372.0779 321.772 0.02795816 -0.1703396
Moved 3882.347 384.6315 353.035 0.05701741 -0.0899307
Moved 3882.378 399.5665 384.7596 0.09158909 -0.008334407
Moved 3882.409 411.7123 406.4246 0.1197044 0.04738843
Moved 3882.44 421.4027 428.8054 0.1421359 0.1049522
Moved 3882.47 425.6801 444.0807 0.1520374 0.1442404
Moved 3882.501 427 454.6995 0.1550926 0.1715521
Moved 3882.532 427 461 0.1550926 0.1877571
Ended 3882.563 427 466 0.1550926 0.2006171
Candidates 3882.686 13 subject assignment contract already select interact efficiency argument significant efficient intact reflect contact
Began 3883.208 291 362 -0.1597222 -0.06687243
Stationary 3883.239 291 362 -0.1597222 -0.06687243
Stationary 3883.269 291 362 -0.1597222 -0.06687243
Stationary 3883.3 291 362 -0.1597222 -0.06687243
Moved 3883.331 304.8175 362 -0.1277373 -0.06687243
Moved 3883.361 328.0338 371.7853 -0.07399594 -0.04170461
Moved 3883.392 349.485 375.8713 -0.02434025 -0.03119535
Moved 3883.423 363.9045 376.9841 0.009038149 -0.02833323
Moved 3883.454 372.5656 378.1885 0.02908717 -0.02523524
Moved 3883.484 381.3741 379 0.04947702 -0.02314815
Moved 3883.515 386.6766 379 0.0617514 -0.02314815
Moved 3883.546 389.776 379 0.06892582 -0.02314815
Ended 3883.576 390 379 0.06944448 -0.02314815
Accept 3883.638 0 subject
Began 3883.853 403 345 0.09953707 -0.1105968
Stationary 3883.884 403 345 0.09953707 -0.1105968
Stationary 3883.915 403 345 0.09953707 -0.1105968
Stationary 3883.945 403 345 0.09953707 -0.1105968
Stationary 3883.976 403 345 0.09953707 -0.1105968
Stationary 3884.007 403 345 0.09953707 -0.1105968
Stationary 3884.037 403 345 0.09953707 -0.1105968
Stationary 3884.068 403 345 0.09953707 -0.1105968
Moved 3884.099 413.656 358.5699 0.1242037 -0.07569466
Moved 3884.13 430.95 376.95 0.164236 -0.0284209
Moved 3884.16 447.8866 401.8299 0.2034412 0.03557071
Moved 3884.191 465.5 429 0.244213 0.1054526
Moved 3884.222 477.0355 446.6497 0.2709155 0.150848
Moved 3884.252 490.4248 465.9948 0.3019093 0.2006037
Moved 3884.283 503.0016 481.8353 0.3310224 0.2413457
Moved 3884.314 513.2031 493.2031 0.3546367 0.2705839
Moved 3884.345 521.1962 502.1962 0.3731393 0.2937143
Moved 3884.375 526.4015 507.4015 0.3851886 0.3071026
Moved 3884.406 530.7476 510.7476 0.3952491 0.3157088
Moved 3884.437 534.2837 514.2837 0.4034344 0.3248036
Moved 3884.468 539 516.5 0.4143518 0.3305041
Moved 3884.498 542 518.5 0.4212962 0.335648
Moved 3884.529 543.5 519 0.4247685 0.3369341
Moved 3884.56 544.0474 519 0.4260355 0.3369341
Stationary 3884.59 544 519 0.4259259 0.3369341
Moved 3884.621 545.2932 519 0.4289195 0.3369341
Moved 3884.652 547 504.5 0.4328704 0.2996398
Moved 3884.683 547 477.1255 0.4328704 0.2292321
Moved 3884.713 531 447 0.3958333 0.1517489
Moved 3884.744 508.2485 414.8033 0.3431678 0.06893861
Moved 3884.775 482.5145 385.1067 0.2835983 -0.007441681
Moved 3884.805 451.5498 351.5497 0.2119207 -0.09375066
Moved 3884.836 422.6601 324.6602 0.1450466 -0.1629112
Moved 3884.867 397.197 300.9224 0.08610408 -0.2239652
Moved 3884.898 376.8058 281.8057 0.03890217 -0.2731335
Moved 3884.928 365.7542 270.7542 0.01331995 -0.3015582
Moved 3884.959 355.5754 258.2193 -0.01024201 -0.3337981
Moved 3884.99 348.1422 248.1422 -0.02744853 -0.3597166
