I can still feel your presence
I can still feel your presence
FixStart
Radial

0.6 0.6
432 388.8
Began 223.3859 313 255 -0.1087963 -0.3420782
Moved 223.4166 313 276.7505 -0.1087963 -0.2861354
Moved 223.4473 340.8988 326.3517 -0.04421567 -0.1585605
Moved 223.478 375.1917 378.3491 0.03516585 -0.0248223
Moved 223.5087 397.323 402.7101 0.08639573 0.03783469
Moved 223.5395 404.291 409.291 0.1025254 0.05476068
Moved 223.5703 406.9129 411.9129 0.1085948 0.06150433
Moved 223.601 409.2792 413 0.1140722 0.06430033
Moved 223.6317 410.5 414 0.1168981 0.06687239
Ended 223.6624 410 414 0.1157407 0.06687239
Candidates 223.7238 13 I u you to guy it ii y iii yo go top up
Began 224.0619 239 323 -0.2800926 -0.1671811
Moved 224.0926 293.0492 323 -0.1549788 -0.1671811
Moved 224.1234 378.948 323 0.04386107 -0.1671811
Moved 224.1541 429 323 0.1597223 -0.1671811
Ended 224.1848 447 323 0.2013889 -0.1671811
Accept 224.2462 0 I
Began 224.3692 346 330 -0.03240739 -0.149177
Stationary 224.3999 346 330 -0.03240739 -0.149177
Moved 224.4306 308.6395 271.751 -0.1188901 -0.2989943
Moved 224.4613 286.9719 230.2678 -0.1690465 -0.4056897
Moved 224.4921 283.1387 222.2775 -0.1779197 -0.4262411
Moved 224.5228 275.5892 209.8838 -0.1953954 -0.4581178
Moved 224.5535 266.5471 202.0314 -0.2163262 -0.4783144
Moved 224.5843 251.7007 202 -0.2506928 -0.4783951
Moved 224.615 224.112 236.1747 -0.3145556 -0.3904972
Moved 224.6457 202.1354 280.957 -0.3654274 -0.2753165
Moved 224.6765 193.473 319.4593 -0.3854792 -0.1762879
Moved 224.7072 193 337.7759 -0.3865741 -0.1291772
Moved 224.7379 193 346.9918 -0.3865741 -0.1054739
Moved 224.7687 209.5621 355.1874 -0.3482358 -0.08439468
Moved 224.7994 248.1746 350.9889 -0.2588551 -0.09519325
Moved 224.8301 298.4167 322.6146 -0.1425539 -0.1681725
Moved 224.8608 357.9515 277.2524 -0.004741897 -0.2848447
