I can still feel your presence
I can still feel your presence
Basic
List

0.6 0.6
432 388.8
Began 1135.35 468 435 0.25 0.1208847
Stationary 1135.38 468 435 0.25 0.1208847
Stationary 1135.411 468 435 0.25 0.1208847
Ended 1135.442 468 435 0.25 0.1208847
Candidates 1135.534 10 j k I l h o u p g y
Began 1136.763 383 315 0.05324075 -0.1877573
Moved 1136.794 383 330.8337 0.05324075 -0.1470326
Moved 1136.825 383 362.1956 0.05324075 -0.06636938
Moved 1136.855 383 394.2029 0.05324075 0.01595403
Moved 1136.886 383 426.2697 0.05324075 0.0984301
Moved 1136.917 383 450.0253 0.05324075 0.1595299
Moved 1136.948 383 475.7331 0.05324075 0.2256509
Moved 1136.978 375.3619 492.1905 0.03555993 0.2679795
Moved 1137.009 371.6144 505.5424 0.02688517 0.3023208
Moved 1137.04 368.739 513.783 0.02022912 0.323516
Moved 1137.071 367 519.264 0.01620372 0.3376132
Moved 1137.101 365.3499 523 0.01238396 0.3472221
Moved 1137.132 364.4773 525.5227 0.01036416 0.3537106
Moved 1137.163 364 528.3939 0.009259283 0.3610955
Moved 1137.193 364 530.1315 0.009259283 0.3655646
Moved 1137.224 364 531.3043 0.009259283 0.368581
Moved 1137.255 364 533.7066 0.009259283 0.3747596
Moved 1137.286 364 537.1468 0.009259283 0.3836079
Moved 1137.316 372.6529 541.1632 0.02928913 0.3939382
Moved 1137.347 379.9273 547.9273 0.04612814 0.4113356
Moved 1137.378 389.5025 554.6683 0.06829292 0.4286737
Moved 1137.409 397.1215 560.4143 0.08592933 0.4434524
Moved 1137.439 402.4237 565.4238 0.09820312 0.4563368
Moved 1137.47 406.1716 569.0858 0.1068787 0.4657556
Moved 1137.501 408 572.9596 0.1111111 0.475719
Moved 1137.531 410 575.6234 0.1157407 0.4825704
Moved 1137.562 411 579.3895 0.1180555 0.492257
Moved 1137.593 412 582.2574 0.1203704 0.4996333
Moved 1137.624 414.1295 588.259 0.1252998 0.5150695
Moved 1137.654 415 593.3027 0.1273148 0.528042
Moved 1137.685 416.5177 599.5532 0.1308281 0.5441183
Moved 1137.716 418 607.175 0.1342593 0.5637216
Moved 1137.747 419 616.0482 0.1365741 0.5865436
Moved 1137.777 419.8448 622.5344 0.1385296 0.6032262
Moved 1137.808 422.4354 631.8708 0.1445265 0.6272397
Ended 1137.839 438.1856 651.6899 0.1809852 0.6782147
Accept 1137.9 2 I
Began 1138.699 315 265 -0.1041667 -0.3163581
Stationary 1138.73 315 265 -0.1041667 -0.3163581
