traveling requires a lot of fuel
traveling requires a lot of fuel
FixStart
Radial

0.6 0.6
432 388.8
Moved 58.91032 244.7655 399 -0.2667466 0.02829214
Moved 58.94106 233.2692 399 -0.2933583 0.02829214
Moved 58.97173 228.1779 399 -0.3051438 0.02829214
Moved 59.00243 227 397.6619 -0.3078704 0.02485044
Moved 59.03313 222.931 391.793 -0.3172893 0.009755617
Moved 59.06388 219.2096 370.5151 -0.3259037 -0.04497135
Moved 59.0946 215 335 -0.3356481 -0.1363169
Moved 59.12535 215 311.5586 -0.3356481 -0.1966085
Moved 59.15607 213.3498 291.749 -0.3394681 -0.2475591
Moved 59.18678 213 279.4983 -0.3402778 -0.2790683
Moved 59.21751 213 273.1868 -0.3402778 -0.2953014
Ended 59.2482 213 271.8876 -0.3402778 -0.298643
Candidates 59.30964 13 required requires eyes features quotes writes series gets featured weird rates writers retired
Began 60.20053 288 261 -0.1666667 -0.3266461
Stationary 60.23126 288 261 -0.1666667 -0.3266461
Moved 60.26198 322.6382 386.2719 -0.08648574 -0.004444789
Moved 60.29263 373.7585 507.6253 0.03184835 0.3076782
Ended 60.32337 400 538 0.09259263 0.3858024
Accept 60.38482 1 requires
Began 60.5077 369 342 0.02083332 -0.1183128
Stationary 60.53846 369 342 0.02083332 -0.1183128
Stationary 60.56917 369 342 0.02083332 -0.1183128
Moved 60.59987 339.6685 342 -0.04706363 -0.1183128
Moved 60.63058 302.8958 342 -0.1321858 -0.1183128
Moved 60.66132 258.5476 348.6167 -0.2348436 -0.1012945
Moved 60.69203 237.9807 352.6699 -0.282452 -0.09086977
Moved 60.72276 225.4263 353 -0.3115132 -0.09002065
Moved 60.75348 213.8674 353 -0.3382699 -0.09002065
Moved 60.7842 203.347 353 -0.3626228 -0.09002065
Moved 60.81489 194.181 353 -0.3838403 -0.09002065
Moved 60.84561 189.9969 346 -0.3935257 -0.1080248
Moved 60.87631 187.5901 346 -0.3990971 -0.1080248
Ended 60.90708 188 346 -0.3981482 -0.1080248
Candidates 60.9992 13 a as gas ass sa da has ga aa add fda aaa s
Began 61.36789 210 328 -0.3472222 -0.1543211
Moved 61.39861 221.9245 328 -0.3196192 -0.1543211
Moved 61.42933 267.2714 328 -0.2146495 -0.1543211
Moved 61.46 316.3194 338.6257 -0.1011126 -0.1269917
Moved 61.49074 381.2721 356.7392 0.04924099 -0.08040337
Ended 61.52143 403.6323 364.2231 0.1010007 -0.06115454
Accept 61.58288 0 a
Began 61.67508 256 372 -0.2407407 -0.04115226
Stationary 61.70582 256 372 -0.2407407 -0.04115226
Moved 61.73654 278.191 372 -0.1893727 -0.04115226
Moved 61.76722 335.0249 372 -0.05781263 -0.04115226
Moved 61.79795 387.1699 372 0.06289332 -0.04115226
Moved 61.82868 425.8872 372 0.1525166 -0.04115226
Moved 61.8594 445.0669 372 0.1969141 -0.04115226
Moved 61.89012 451.8772 372 0.2126787 -0.04115226
Moved 61.92083 454.3194 372 0.2183319 -0.04115226
Moved 61.95156 454 384.1788 0.2175926 -0.009828104
Moved 61.98225 440.1696 409.9592 0.1855777 0.05647929
Moved 62.01299 431.5 440 0.1655093 0.1337448
Moved 62.04372 426.1433 453.57 0.1531096 0.1686471
Moved 62.07443 421.3494 464.6023 0.1420125 0.1970222
Moved 62.10515 417.2484 473.1274 0.1325195 0.2189489
Moved 62.13586 413.3366 478.6634 0.1234644 0.2331877
Moved 62.16659 401 488 0.09490739 0.2572016
Moved 62.19728 388.818 491.4728 0.06670822 0.2661338
Moved 62.22803 367.313 492 0.01692832 0.2674896
Moved 62.25875 333.7498 492 -0.0607643 0.2674896
Moved 62.2895 294.3112 492 -0.1520575 0.2674896
Moved 62.32018 270.4964 484 -0.2071843 0.2469135
Moved 62.35093 250.5 481.5 -0.2534722 0.2404835
Moved 62.38166 232.5953 480.0744 -0.2949182 0.2368167
Moved 62.41234 220.0492 480 -0.3239601 0.2366254
Moved 62.4431 214.6248 480 -0.3365166 0.2366254
Moved 62.47381 210.8967 480 -0.3451465 0.2366254
Ended 62.50453 211 488.7855 -0.3449074 0.2592219
Candidates 62.56596 13 lot low lie lott floor loud lit lloyd flow log floyd kit lite
Began 63.0575 215 367 -0.3356481 -0.05401234
Stationary 63.08822 215 367 -0.3356481 -0.05401234
Moved 63.11896 222.3009 367 -0.318748 -0.05401234
Moved 63.1496 259.2902 367 -0.2331246 -0.05401234
Moved 63.18037 301.6649 367 -0.1350351 -0.05401234
Moved 63.21106 348.5731 360 -0.0264511 -0.07201654
Moved 63.24178 390.8321 360 0.0713707 -0.07201654
Ended 63.27251 402 360 0.09722222 -0.07201654
Accept 63.33397 0 lot
Began 63.42616 247 324 -0.2615741 -0.164609
Stationary 63.45683 247 324 -0.2615741 -0.164609
Moved 63.4876 254.9736 332.7709 -0.2431168 -0.1420503
Moved 63.51828 314 385.5 -0.1064815 -0.006430119
Moved 63.54901 364.4216 428.6189 0.01023521 0.1044724
Moved 63.57973 383.7461 445.1217 0.0549677 0.1469178
Moved 63.61044 391.6968 452.6968 0.07337212 0.1664011
Moved 63.6412 393.5 454.5 0.07754634 0.171039
Moved 63.67192 393 454 0.07638891 0.169753
Moved 63.7026 371.5674 440.7701 0.02677629 0.1357254
Moved 63.73333 278.1231 379.3933 -0.1895298 -0.02213662
Moved 63.76404 244 353 -0.2685185 -0.09002065
Moved 63.79476 220.6568 339.7855 -0.3225537 -0.1240085
Moved 63.82549 204.3543 328.9028 -0.360291 -0.151999
Moved 63.85624 195.5 324.5 -0.3807871 -0.163323
Moved 63.88693 192 322.5 -0.3888888 -0.1684671
Ended 63.91762 193 323 -0.3865741 -0.1671811
Candidates 64.00984 13 of good off god if food goods high odd is id odds his
Began 64.37849 205 348 -0.3587963 -0.1028807
Moved 64.4092 236.4796 348 -0.2859268 -0.1028807
Moved 64.4399 326.4657 367.0493 -0.07762576 -0.0538855
Moved 64.47063 364.2858 375.9524 0.009920795 -0.03098672
Moved 64.50134 386.0617 377.8827 0.06032805 -0.02602196
Moved 64.5321 409.5 378 0.1145834 -0.02572024
Ended 64.56281 409.5 378 0.1145834 -0.02572024
Accept 64.62419 0 of
Began 64.71644 370 362 0.02314816 -0.06687243
Stationary 64.74698 370 362 0.02314816 -0.06687243
Moved 64.77785 342.613 362 -0.04024759 -0.06687243
Moved 64.80851 315.9327 355 -0.1020075 -0.08487654
Moved 64.83927 297.6707 355 -0.1442809 -0.08487654
Moved 64.87 285.6638 355 -0.1720746 -0.08487654
Moved 64.90073 280.5099 355 -0.1840048 -0.08487654
Moved 64.93141 280 373.0474 -0.1851852 -0.03845843
Moved 64.962 293.3772 398.8785 -0.1542194 0.02797959
Moved 64.99287 318.5307 430.8837 -0.09599384 0.1102975
Moved 65.02358 353.1139 462.8752 -0.01594007 0.1925801
Moved 65.0543 376.5 479 0.03819446 0.2340534
Moved 65.08507 382.3858 483.1929 0.05181889 0.2448375
Moved 65.11577 385 484 0.05787035 0.2469135
Stationary 65.14648 385 484 0.05787035 0.2469135
Stationary 65.17719 385 484 0.05787035 0.2469135
Moved 65.20787 370.4641 484 0.02422244 0.2469135
Moved 65.23865 319 484 -0.09490739 0.2469135
Moved 65.26935 261.6689 486.4759 -0.2276183 0.2532816
Moved 65.3001 251.725 488.6375 -0.2506366 0.2588412
Moved 65.3308 246.2775 490.3613 -0.2632465 0.2632748
Moved 65.36152 243.921 492 -0.2687014 0.2674896
Moved 65.39225 251.9263 492 -0.2501705 0.2674896
Moved 65.42296 278.1859 481.4866 -0.1893844 0.2404491
Moved 65.45371 319.4675 464.7662 -0.09382521 0.1974439
Moved 65.48438 360.5582 446.3322 0.00129203 0.1500313
Moved 65.51511 395.9621 429.0189 0.08324564 0.1055013
Moved 65.54582 425.6972 409.791 0.152077 0.05604681
Moved 65.57658 453.6469 389.2825 0.2167751 0.003298653
Moved 65.60731 478.8416 369.5267 0.2750962 -0.04751354
Moved 65.63799 495.3905 357.9657 0.3134039 -0.0772488
Moved 65.66875 506.1806 351.4097 0.3383811 -0.09411101
Moved 65.69947 513.0496 347.9835 0.3542813 -0.1029232
Moved 65.73018 529.2307 345.2527 0.3917378 -0.1099467
Ended 65.76086 531 345 0.3958333 -0.1105968
Candidates 65.7916 13 steel seek fuel greek hell well wk week shell trek el tel del
Began 66.77463 361 297 0.002314846 -0.2340535
Moved 66.80535 342.2669 322.0996 -0.04104882 -0.169497
Moved 66.83608 315.4149 363.3742 -0.1032061 -0.06333794
Moved 66.86679 284.9801 424.0425 -0.1736572 0.09270177
Ended 66.89754 269.8274 461.2418 -0.2087329 0.1883791
Accept 66.95895 2 fuel
Began 67.11259 232 422 -0.2962963 0.08744851
Moved 67.14327 291.3317 422 -0.1589544 0.08744851
Moved 67.17399 406.0166 455.3231 0.1065199 0.173156
Moved 67.2047 462.4521 468.5223 0.2371575 0.2071045
Moved 67.23544 503.5 474 0.3321759 0.2211934
Moved 67.26618 537.8132 480.7033 0.4116045 0.2384344
Moved 67.29691 559.7314 483.9664 0.4623413 0.2468272
Ended 67.32759 560 484 0.462963 0.2469135
PhraseEnd 67.38873
