electric cars need big fuel cells
electric cars need big fuel cells
Basic
Radial

0.6 0.6
432 388.8
Began 660.7845 321 489 -0.09027779 0.2597736
Stationary 660.8153 321 489 -0.09027779 0.2597736
Stationary 660.846 321 489 -0.09027779 0.2597736
Stationary 660.8767 321 489 -0.09027779 0.2597736
Stationary 660.9074 321 489 -0.09027779 0.2597736
Stationary 660.9382 321 489 -0.09027779 0.2597736
Stationary 660.9689 321 489 -0.09027779 0.2597736
Stationary 660.9996 321 489 -0.09027779 0.2597736
Stationary 661.0303 321 489 -0.09027779 0.2597736
Moved 661.0611 350.4135 471.1827 -0.02219111 0.2139471
Moved 661.0918 416.4419 450.1395 0.1306525 0.1598238
Moved 661.1226 470.6993 431.067 0.2562483 0.1107689
Moved 661.1532 501.7357 415.8428 0.328092 0.07161211
Moved 661.184 525.8044 400.7971 0.3838066 0.03291412
Moved 661.2147 541.7661 389.9871 0.4207548 0.005110831
Moved 661.2454 550.5923 384.7039 0.4411858 -0.008477772
Moved 661.2762 553.4203 383 0.4477321 -0.01286016
Moved 661.3069 554.5 381.5 0.4502314 -0.01671818
Moved 661.3376 532.1634 388.3119 0.3985264 0.0008021068
Moved 661.3683 496.3395 408.3303 0.3156008 0.05228972
Moved 661.399 461.6438 423.2055 0.2352865 0.09054902
Moved 661.4298 419.2382 439.9008 0.1371256 0.1334895
Moved 661.4605 388.0703 452.1322 0.0649775 0.164949
Moved 661.4913 353.7882 463.3787 -0.01437907 0.1938751
Moved 661.522 330.3193 472.0723 -0.06870533 0.2162351
Moved 661.5527 309.6703 478.8085 -0.116504 0.2335608
Moved 661.5833 295.731 486.3614 -0.1487709 0.252987
Moved 661.6141 288.0063 488.9979 -0.1666521 0.2597681
Moved 661.6449 283.6386 490 -0.1767625 0.2623456
Moved 661.6756 279.2226 492 -0.1869847 0.2674896
Moved 661.7063 275.6564 493 -0.1952398 0.2700616
Moved 661.7371 273.1226 494 -0.201105 0.2726337
Moved 661.7678 271.8612 495.1388 -0.204025 0.2755626
Moved 661.7985 270 495 -0.2083333 0.2752057
Moved 661.8292 268.5 496.5 -0.2118056 0.2790637
Moved 661.8599 268.2016 496 -0.2124963 0.2777777
Stationary 661.8907 268 496 -0.212963 0.2777777
Moved 661.9214 266.5 496 -0.2164352 0.2777777
Moved 661.9521 267 497.0594 -0.2152778 0.2805026
Stationary 661.9828 267 497 -0.2152778 0.2803498
Moved 662.0136 265.9984 497 -0.2175962 0.2803498
Stationary 662.0443 266 497 -0.2175926 0.2803498
Stationary 662.075 266 497 -0.2175926 0.2803498
Moved 662.1058 266 498.0676 -0.2175926 0.2830954
Stationary 662.1365 266 498.0676 -0.2175926 0.2830954
Moved 662.1672 266 501.4442 -0.2175926 0.2917802
Moved 662.1979 276.9867 504.9933 -0.1921604 0.3009087
Moved 662.2285 287 507.5 -0.1689815 0.3073559
Moved 662.2593 300.9148 511.6382 -0.1367714 0.3179995
Moved 662.2902 316.8184 513.303 -0.09995747 0.3222814
Moved 662.3209 331.2565 514 -0.06653582 0.324074
Moved 662.3516 341.6062 514 -0.04257818 0.324074
Moved 662.3823 352.693 515 -0.01691446 0.326646
Moved 662.413 362.8897 516 0.006689032 0.329218
Moved 662.4437 372.1079 516 0.02802759 0.329218
Moved 662.4745 384.636 516 0.05702784 0.329218
Moved 662.5052 397.3706 516 0.08650601 0.329218
Moved 662.5359 411.6939 517.1157 0.1196618 0.3320875
Moved 662.5667 431.697 517 0.1659652 0.33179
Moved 662.5974 448.3617 517 0.204541 0.33179
Moved 662.6281 461.5 517 0.2349537 0.33179
Moved 662.6588 470.0812 517 0.2548175 0.33179
Moved 662.6895 479.3017 517 0.2761612 0.33179
Moved 662.7203 486.2697 517 0.292291 0.33179
Moved 662.751 491 517 0.3032407 0.33179
Moved 662.7817 493.9602 517 0.310093 0.33179
Moved 662.8124 496.5 517 0.3159723 0.33179
Moved 662.8432 498.0682 510 0.3196023 0.3137859
Moved 662.8739 499.3152 508.6848 0.3224888 0.3104032
Stationary 662.9046 499 509 0.3217593 0.3112139
Moved 662.9354 500 507.5751 0.324074 0.3075491
Stationary 662.9661 500 507.5751 0.324074 0.3075491
Moved 662.9968 501.0635 506.9365 0.3265359 0.3059064
Stationary 663.0275 501.0635 506.9365 0.3265359 0.3059064
Moved 663.0583 501 505.8441 0.3263889 0.3030967
Stationary 663.089 501 505.8441 0.3263889 0.3030967
Moved 663.1198 501 505 0.3263889 0.3009258
Moved 663.1505 492.7076 503.2462 0.3071936 0.2964149
