id,mode,cand,block,phrase,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,All,Top1(ratio),Top2(ratio),Top3(ratio),Top4(ratio),Top5(ratio),Top6(ratio),Top7(ratio),Top8(ratio),Top9(ratio),Top10(ratio),Top11(ratio),Top12(ratio),Top13(ratio)
1,FixStart,Radial,1,10,43,51,52,55,55,55,55,55,55,55,55,55,55,55,0.781818,0.927273,0.945455,1,1,1,1,1,1,1,1,1,1
1,FixStart,Radial,2,20,51,54,55,55,55,55,55,55,55,55,55,55,55,55,0.927273,0.981818,1,1,1,1,1,1,1,1,1,1,1
1,FixStart,Radial,3,30,51,55,55,58,58,58,58,58,58,58,58,58,58,58,0.87931,0.948276,0.948276,1,1,1,1,1,1,1,1,1,1
1,FixStart,Radial,4,40,49,56,57,58,58,58,58,58,58,58,58,59,59,59,0.830508,0.949153,0.966102,0.983051,0.983051,0.983051,0.983051,0.983051,0.983051,0.983051,0.983051,1,1
1,Basic,Radial,1,10,32,40,48,49,50,50,51,52,52,52,52,52,53,56,0.571429,0.714286,0.857143,0.875,0.892857,0.892857,0.910714,0.928571,0.928571,0.928571,0.928571,0.928571,0.946429
1,Basic,Radial,2,20,48,56,60,60,60,61,61,62,63,63,63,63,63,68,0.705882,0.823529,0.882353,0.882353,0.882353,0.897059,0.897059,0.911765,0.926471,0.926471,0.926471,0.926471,0.926471
1,Basic,Radial,3,30,47,51,54,55,56,56,57,57,57,57,57,57,57,59,0.79661,0.864407,0.915254,0.932203,0.949153,0.949153,0.966102,0.966102,0.966102,0.966102,0.966102,0.966102,0.966102
1,Basic,Radial,4,40,43,47,48,48,48,50,50,51,51,52,52,52,53,53,0.811321,0.886792,0.90566,0.90566,0.90566,0.943396,0.943396,0.962264,0.962264,0.981132,0.981132,0.981132,1
2,FixStart,List,1,10,36,43,46,49,49,49,50,51,51,51,51,51,51,52,0.692308,0.826923,0.884615,0.942308,0.942308,0.942308,0.961538,0.980769,0.980769,0.980769,0.980769,0.980769,0.980769
2,FixStart,List,2,20,49,51,53,55,56,57,57,57,57,57,57,58,58,58,0.844828,0.87931,0.913793,0.948276,0.965517,0.982759,0.982759,0.982759,0.982759,0.982759,0.982759,1,1
2,FixStart,List,3,30,47,53,55,56,56,56,56,56,56,57,57,57,57,57,0.824561,0.929825,0.964912,0.982456,0.982456,0.982456,0.982456,0.982456,0.982456,1,1,1,1
2,FixStart,List,4,40,46,51,53,53,54,54,54,54,54,54,54,55,55,55,0.836364,0.927273,0.963636,0.963636,0.981818,0.981818,0.981818,0.981818,0.981818,0.981818,0.981818,1,1
2,Basic,List,1,10,34,38,41,41,42,44,47,49,51,51,53,53,53,54,0.62963,0.703704,0.759259,0.759259,0.777778,0.814815,0.87037,0.907407,0.944444,0.944444,0.981481,0.981481,0.981481
2,Basic,List,2,20,44,46,49,49,49,49,49,49,49,49,50,51,51,52,0.846154,0.884615,0.942308,0.942308,0.942308,0.942308,0.942308,0.942308,0.942308,0.942308,0.961538,0.980769,0.980769
2,Basic,List,3,30,47,50,53,57,59,59,59,59,60,60,60,60,60,60,0.783333,0.833333,0.883333,0.95,0.983333,0.983333,0.983333,0.983333,1,1,1,1,1
2,Basic,List,4,40,51,52,53,58,59,59,59,59,59,59,59,59,59,59,0.864407,0.881356,0.898305,0.983051,1,1,1,1,1,1,1,1,1
3,FixStart,Radial,1,10,40,54,57,60,61,62,62,63,63,63,64,64,64,64,0.625,0.84375,0.890625,0.9375,0.953125,0.96875,0.96875,0.984375,0.984375,0.984375,1,1,1
3,FixStart,Radial,2,20,40,52,54,56,56,56,56,56,56,57,57,57,57,59,0.677966,0.881356,0.915254,0.949153,0.949153,0.949153,0.949153,0.949153,0.949153,0.966102,0.966102,0.966102,0.966102
3,FixStart,Radial,3,30,42,48,49,49,49,51,52,52,53,54,54,54,55,57,0.736842,0.842105,0.859649,0.859649,0.859649,0.894737,0.912281,0.912281,0.929825,0.947368,0.947368,0.947368,0.964912
3,FixStart,Radial,4,40,36,48,50,50,51,52,52,52,52,52,52,52,52,53,0.679245,0.90566,0.943396,0.943396,0.962264,0.981132,0.981132,0.981132,0.981132,0.981132,0.981132,0.981132,0.981132
3,Basic,Radial,1,10,38,46,48,48,50,52,54,55,55,55,55,55,55,65,0.584615,0.707692,0.738462,0.738462,0.769231,0.8,0.830769,0.846154,0.846154,0.846154,0.846154,0.846154,0.846154
3,Basic,Radial,2,20,43,50,52,55,55,56,56,56,56,56,56,56,56,58,0.741379,0.862069,0.896552,0.948276,0.948276,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
3,Basic,Radial,3,30,31,43,48,50,52,52,53,55,55,55,56,56,56,58,0.534483,0.741379,0.827586,0.862069,0.896552,0.896552,0.913793,0.948276,0.948276,0.948276,0.965517,0.965517,0.965517
3,Basic,Radial,4,40,43,49,56,57,57,57,57,57,57,57,57,57,57,60,0.716667,0.816667,0.933333,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
4,FixStart,Radial,1,10,54,58,64,64,64,64,64,64,64,64,64,64,64,66,0.818182,0.878788,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697,0.969697
4,FixStart,Radial,2,20,49,53,53,55,57,57,57,58,58,58,58,58,58,59,0.830508,0.898305,0.898305,0.932203,0.966102,0.966102,0.966102,0.983051,0.983051,0.983051,0.983051,0.983051,0.983051
4,FixStart,Radial,3,30,48,54,56,57,57,58,58,58,58,58,59,59,59,60,0.8,0.9,0.933333,0.95,0.95,0.966667,0.966667,0.966667,0.966667,0.966667,0.983333,0.983333,0.983333
